pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,fare_amount
40.606146,-73.936994,40.660182,-73.941743,2,20.41
40.784299,-73.915790,40.651021,-73.942105,1,36.09
40.884523,-73.869739,40.589984,-73.855137,4,77.04
40.653199,-74.000461,40.690089,-73.785287,1,54.02
40.821467,-73.938416,40.692815,-73.866578,1,36.65
40.796262,-73.914074,40.618610,-73.985481,1,51.49
40.690834,-73.777577,40.893140,-73.998499,1,75.33
40.595753,-73.903290,40.794774,-74.022970,1,65.05
40.751449,-73.851130,40.898413,-73.744336,2,46.42
40.752807,-74.009497,40.894538,-73.934706,2,43.59
40.644599,-73.934822,40.580451,-74.021002,1,29.88
40.586093,-73.968361,40.566453,-73.826829,1,28.83
40.737076,-73.772920,40.815038,-74.028136,2,58.48
40.841794,-73.860574,40.826223,-73.986992,1,28.43
40.641796,-73.787389,40.871507,-73.887594,1,70.07
40.569195,-73.736139,40.872014,-73.721527,3,81.99
40.587661,-73.744441,40.774073,-73.816920,1,53.64
40.875096,-73.925951,40.639184,-73.783593,2,67.81
40.878843,-73.743124,40.895502,-73.761710,2,8.12
40.598175,-73.965724,40.626030,-73.801649,2,38.38
40.791004,-73.823146,40.656586,-74.016634,3,52.48
40.590691,-73.813836,40.703056,-73.874788,1,33.31
40.854235,-74.029822,40.888480,-74.025766,2,7.88
40.598749,-73.947897,40.626762,-73.788185,1,36.05
40.882604,-73.781270,40.572679,-74.012299,3,98.70
40.623820,-73.837236,40.650047,-74.015167,1,39.11
40.687849,-73.847282,40.619629,-73.731457,1,30.91
40.876006,-73.845608,40.685393,-74.007484,2,64.05
40.762731,-74.009359,40.755421,-73.800448,2,46.44
40.890902,-73.767941,40.608173,-73.779956,2,80.46
40.658008,-73.843256,40.805456,-73.840052,2,45.66
40.703745,-73.720953,40.807784,-73.869006,2,43.00
40.748880,-73.993264,40.848305,-73.786901,1,55.90
40.858257,-73.846088,40.584973,-73.895815,1,71.35
40.743487,-73.942956,40.730856,-73.884755,4,16.08
40.747680,-73.967175,40.800730,-73.812840,2,38.66
40.887835,-73.898751,40.627025,-74.016166,1,77.27
40.891957,-73.753850,40.723313,-73.935545,1,62.38
40.700432,-73.924981,40.802464,-74.022562,1,40.57
40.742197,-74.026087,40.680484,-73.960570,4,22.04
40.600406,-73.885155,40.629416,-73.889197,2,9.65
40.823042,-73.899925,40.708146,-73.991835,2,38.75
40.656315,-73.903132,40.879062,-74.010512,1,62.75
40.855905,-73.736259,40.781805,-73.772360,3,26.88
40.583116,-73.946283,40.616291,-73.885519,2,16.58
40.574577,-73.968622,40.751007,-73.841089,1,57.45
40.883085,-73.767711,40.608737,-73.782585,1,71.40
40.788353,-73.795881,40.884095,-73.890335,3,37.33
40.897381,-73.874629,40.806811,-74.012891,2,40.80
40.617572,-73.962134,40.899655,-74.018866,3,77.96
40.681844,-73.805374,40.750632,-73.827027,2,23.13
40.683474,-73.999573,40.785760,-73.908833,1,34.39
40.712273,-73.820617,40.767098,-73.936660,1,30.22
40.881567,-73.803049,40.652778,-73.894903,1,63.31
40.675194,-73.955676,40.867153,-73.945183,3,54.50
40.772972,-73.830786,40.714663,-73.732968,1,27.92
40.832393,-73.989265,40.570692,-73.776749,1,88.60
40.695285,-73.828992,40.895678,-73.968685,2,64.51
40.623049,-74.029429,40.598046,-73.905141,2,29.12
40.672116,-73.727580,40.682491,-73.975730,1,52.05
40.712024,-73.792812,40.629989,-73.774262,2,28.39
40.748072,-73.986520,40.662588,-73.727142,4,55.47
40.648231,-74.001481,40.845131,-73.890074,2,55.72
40.825810,-73.855923,40.573036,-74.011711,1,72.98
40.680317,-73.867509,40.593128,-73.743856,1,33.59
40.641968,-73.999962,40.739410,-73.915019,1,33.21
40.670076,-73.721043,40.654411,-73.782729,1,15.47
40.776321,-73.785342,40.688773,-73.824508,1,28.41
40.792754,-73.973015,40.578638,-73.921158,1,60.96
40.811234,-73.813819,40.610783,-74.018474,1,66.64
40.585964,-73.874956,40.821207,-73.923122,2,70.64
40.809627,-73.750358,40.844837,-74.010708,3,57.76
40.585909,-73.835700,40.694347,-73.859202,4,37.26
40.708065,-73.910139,40.708855,-73.903608,1,2.20
40.682390,-73.877089,40.749766,-73.946551,4,27.18
40.646882,-74.022022,40.787212,-73.861621,1,53.73
40.811592,-73.856798,40.760333,-73.874128,2,18.36
40.583898,-73.847643,40.833523,-73.814813,1,71.61
40.879774,-74.019373,40.587128,-73.869266,3,74.34
40.646250,-73.837805,40.792430,-73.857356,1,43.41
40.744943,-73.998836,40.561046,-73.993887,1,47.59
40.876299,-73.790933,40.868964,-73.970869,1,37.82
40.580649,-73.952507,40.828251,-73.751211,1,85.41
40.643023,-73.894474,40.848694,-73.840015,2,57.66
40.899933,-74.001859,40.639006,-73.994898,1,73.11
40.659811,-74.010725,40.793778,-73.868306,2,53.46
40.659334,-73.937901,40.699710,-73.851655,4,24.66
40.814773,-74.018417,40.565257,-73.902744,1,74.04
40.888307,-73.998192,40.765660,-74.002084,1,34.27
40.607867,-74.005321,40.725103,-73.818895,4,54.45
40.568827,-73.968858,40.680066,-73.974665,2,34.30
40.838384,-73.771691,40.828837,-73.816240,1,11.67
40.789885,-73.762413,40.716257,-73.811449,1,22.48
40.869326,-73.809345,40.705737,-73.832816,1,52.60
40.755538,-73.850898,40.586800,-74.018389,3,60.46
40.767873,-74.020145,40.877317,-73.850428,4,49.40
40.713768,-73.780686,40.888593,-74.014585,2,67.35
40.635767,-73.855437,40.653907,-73.941883,2,21.99
40.851541,-73.962218,40.573534,-74.006646,1,82.37
40.598355,-73.838517,40.693397,-73.736327,1,34.85
40.581766,-73.865262,40.711767,-73.811570,1,40.34
40.747207,-73.742754,40.836665,-73.855312,1,36.81
40.860293,-73.731401,40.748707,-74.025288,1,74.65
40.579967,-73.807850,40.730742,-73.862863,2,45.04
40.897194,-73.811735,40.723598,-73.918172,4,52.78
